Volatility 3 Framework 2.28.1

OFFSET (V)	PID	TID	PPID	COMM

0x8e1b002391c0	1	1	0	systemd
* 0x8e1b01faa380	372	372	1	systemd-journal
* 0x8e1b068191c0	374	374	1	systemd-oomd
* 0x8e1b01fa91c0	392	392	1	systemd-timesyn
* 0x8e1b0681b540	404	404	1	systemd-udevd
* 0x8e1b01f991c0	597	597	1	dbus-daemon
* 0x8e1b01fab540	627	627	1	systemd-logind
* 0x8e1b0cc158c0	669	669	1	nsncd
* 0x8e1b0cd58000	742	742	1	dhcpcd
* 0x8e1b01f9c700	746	746	1	agetty
* 0x8e1b01fad8c0	748	748	1	login
** 0x8e1b0a548000	843	843	748	bash
*** 0x8e1b0a54c700	874	874	843	avml
* 0x8e1b0cd56a80	768	768	1	sshd
* 0x8e1b0a54ea80	831	831	1	systemd
** 0x8e1b0cd53540	833	833	831	(sd-pam)
* 0x8e1b0a5491c0	873	873	1	loader
0x8e1b0023d8c0	2	2	0	kthreadd
* 0x8e1b0023b540	3	3	2	rcu_gp
* 0x8e1b0023a380	4	4	2	rcu_par_gp
* 0x8e1b0023c700	5	5	2	slub_flushwq
* 0x8e1b0023ea80	6	6	2	netns
* 0x8e1b00238000	7	7	2	kworker/0:0
* 0x8e1b0024b540	8	8	2	kworker/0:0H
* 0x8e1b0024a380	9	9	2	kworker/u4:0
* 0x8e1b0024c700	10	10	2	mm_percpu_wq
* 0x8e1b0024ea80	11	11	2	kworker/u4:1
* 0x8e1b00248000	12	12	2	rcu_tasks_kthre
* 0x8e1b002491c0	13	13	2	rcu_tasks_rude_
* 0x8e1b0024d8c0	14	14	2	rcu_tasks_trace
* 0x8e1b00250000	15	15	2	ksoftirqd/0
* 0x8e1b002511c0	16	16	2	rcu_preempt
* 0x8e1b002558c0	17	17	2	migration/0
* 0x8e1b00253540	18	18	2	kworker/0:1
* 0x8e1b00254700	19	19	2	cpuhp/0
* 0x8e1b00256a80	20	20	2	cpuhp/1
* 0x8e1b0031c700	21	21	2	migration/1
* 0x8e1b0031ea80	22	22	2	ksoftirqd/1
* 0x8e1b00318000	23	23	2	kworker/1:0
* 0x8e1b003191c0	24	24	2	kworker/1:0H
* 0x8e1b0031d8c0	25	25	2	kdevtmpfs
* 0x8e1b0031b540	26	26	2	inet_frag_wq
* 0x8e1b0031a380	27	27	2	kauditd
* 0x8e1b003458c0	28	28	2	khungtaskd
* 0x8e1b003da380	29	29	2	oom_reaper
* 0x8e1b003dc700	30	30	2	kworker/u4:2
* 0x8e1b003dea80	31	31	2	writeback
* 0x8e1b003d8000	32	32	2	kcompactd0
* 0x8e1b003d91c0	33	33	2	ksmd
* 0x8e1b003dd8c0	34	34	2	kworker/1:1
* 0x8e1b003db540	35	35	2	khugepaged
* 0x8e1b003f6a80	36	36	2	kintegrityd
* 0x8e1b003f0000	37	37	2	kblockd
* 0x8e1b003f11c0	38	38	2	blkcg_punt_bio
* 0x8e1b003f58c0	39	39	2	devfreq_wq
* 0x8e1b003f3540	40	40	2	kworker/1:1H
* 0x8e1b003f2380	41	41	2	kswapd0
* 0x8e1b018c0000	43	43	2	kworker/u4:3
* 0x8e1b018c4700	48	48	2	kthrotld
* 0x8e1b018c11c0	49	49	2	mld
* 0x8e1b018c6a80	50	50	2	ipv6_addrconf
* 0x8e1b01f8ea80	56	56	2	kstrp
* 0x8e1b01f891c0	58	58	2	zswap-shrink
* 0x8e1b01f8d8c0	59	59	2	kworker/u5:0
* 0x8e1b018c58c0	130	130	2	kworker/1:2
* 0x8e1b01fb4700	154	154	2	kworker/0:1H
* 0x8e1b01fb58c0	178	178	2	kworker/0:2
* 0x8e1b01fb2380	179	179	2	ata_sff
* 0x8e1b01fb0000	180	180	2	scsi_eh_0
* 0x8e1b018c3540	181	181	2	scsi_tmf_0
* 0x8e1b018c2380	182	182	2	scsi_eh_1
* 0x8e1b01f93540	183	183	2	scsi_tmf_1
* 0x8e1b01f958c0	184	184	2	kworker/0:3
* 0x8e1b01f911c0	185	185	2	kworker/0:4
* 0x8e1b06818000	217	217	2	jbd2/sda3-8
* 0x8e1b0681d8c0	218	218	2	ext4-rsv-conver
* 0x8e1b01fa8000	359	359	2	psimon
* 0x8e1b0681ea80	381	381	2	kworker/1:3
* 0x8e1b00340000	436	436	2	psimon
* 0x8e1b01fa3540	463	463	2	cryptd
* 0x8e1b0a54b540	566	566	2	kworker/u4:4
* 0x8e1b0a54d8c0	567	567	2	kworker/u4:5
* 0x8e1b0cd5ea80	753	753	2	cfg80211
* 0x8e1b0a54a380	838	838	2	psimon
